a-bomb,bom nguyên tử
frilled,có diềm bằng vải xếp nếp
frillery,sự làm diềm bằng vải xếp nếp
frillies,(thông tục) váy lót xếp nếp
frilling,sự làm diềm bằng vải xếp nếp
fringe-benefit,phúc lợi phụ; phụ cấp ngoài
fringeless,không có tua
fringing,sự đính tua
fringy,có tua
frippery,đồ trang trí loè loẹt rẻ tiền (ở quần áo)
frisette,tóc quăn ngang trán
friseur,thợ uốn tóc
friskiness,tính nghịch ngợm; tính hay nô đùa
frisky,nghịch ngợm; hay nô đùa
frit,(kỹ thuật) nguyên liệu thuỷ tinh
frith,vịnh hẹp
fritillary,(thực vật học) cây bồi mẫu
fritter,món rán | lãng phí thì giờ vào những việc vô ích
fro,to and fro đi đi lại lại
frof-spawn,(động vật học) trứng ếch
frog-fish,(động vật học) cá vây chân
frogged,có khuy khuyết thùa (áo nhà binh)
froggy,(thuộc) ếch nhái; như ếch nhái
frogling,(động vật học) ếch con; ngoé con
frogman,người nhái
frond,(thực vật học) lá lược (của cây dương xỉ)
frondage,(thực vật học) bộ lá lược (của cây dương xỉ)
frondose,hình lá lược
frontier,biên giới | đồn biên phòng||@frontier|- biên giới
frontiersman,người dân ở vùng biên giới
frontispiece,(ngành in) tranh đầu sách
frontless,không có mặt trước
frontlet,mảnh vải bịt ngang trán
fronton,(kiến trúc) tán tường
frontward,về phía trước
frontwards,về phía trước
frore,(thơ ca) băng giá
frosh,học sinh đại học năm thứ nhất
frost-bite,chỗ thui chột vì sương giá
frost-bitten,tê cóng; chết cóng vì sương giá; thui chột vì sương giá
frost-work,bông sương giá đọng trên cửa kính
frostless,không có sương giá
froth-blower,(đùa cợt) người uống bia
frou-frou,tiếng sột soạt (của quần áo)
frow,người đàn bà hà-lan
frowningly,với vẻ mặt cau có
frowsy,hôi hám
frowziness,sự hôi hám
frowzy,hôi hám
fructification,sự ra quả
fructify,ra quả
fructose,(hoá học) fructoza
fructuous,sinh quả; có nhiều quả
frugality,tính căn cơ; tính tiết kiệm
frugivorous,(động vật học) ăn quả
fruit-cake,bánh trái cây
fruit-grower,người trồng cây ăn quả
fruit-knife,dao cắt quả (lưỡi bằng bạc... cho khỏi gỉ)
fruit-piece,tranh vẽ hoa quả
fruit-sugar,(hoá học) fructoza
fruit-tree,cây ăn quả
fruitage,hoa quả (nói chung)
fruitarian,người chỉ ăn trái cây
fruiter,người trồng cây ăn quả
fruiterer,người bán hoa quả
fruitfully,có kết quả
fruitfulness,sự có nhiều quả
fruitgrowing,sự trồng cây ăn quả
fruition,sự hưởng (cái mong muốn); sự thực hiện (nguyện vọng...)
fruitlessness,sự không có quả
fruitlet,(thực vật học) quả con (trong một quả phức)
frump,người đàn bà ăn mặc lôi thôi lếch thếch
frumpish,ăn mặc lôi thôi lếch thếch
frumpy,ăn mặc lôi thôi lếch thếch
frusta,hình cụt | hình nón cụt | chóp cụt
frustule,(thực vật học) vỏ tảo cát
frutescent,(thực vật học) (thuộc) loại cây bụi
frutex,(thực vật học) cây bụi
frutices,(thực vật học) cây bụi
fruticose,(thực vật học) có nhiều cây bụi
fryer,chảo rán (cá...)
fubsy,béo lùn
fuchsia,(thực vật học) cây hoa vân anh
fuchsine,(hoá học) fucsin
fucoid,(thực vật học) hình tảo có đá
fuddy-duddy,vô tích sự
fuehrer,(đức) lãnh tụ fuarơ
fugle,hướng dẫn
fugue,(âm nhạc) fuga
fugued,(âm nhạc) dưới hình thức fuga
fuguing,(âm nhạc) dưới hình thức fuga
fuguist,(âm nhạc) người soạn fuga
fulcra,điểm tựa (đòn bẫy)
fulcrum,điểm tựa (đòn bẫy)
fulgurate,loé sáng như tia chớp
fulham,(sử học) con súc sắc có đổ chì (ở một bên)
fuliginous,đầy bồ hóng
full-blooded,ruột thịt (anh em...)
full-cream,không rút bớt kem (sữa)
full-fashioned,vừa sít chân (bít tất)
full-moon,trăng tròn
full-mouthed,đủ răng (ngựa...)
full-rigged,có đầy đủ buồm và cột buồm (thuyền)
full-term,(y học) đủ tháng (thai)
full-timer,học sinh đi học cả hai buổi
fuller,thợ chuội và hồ vải
fulmar,(động vật học) hải âu fumma
fulminant,nổ
fulminatory,nổ
fulmine,(thơ ca) nổ (sấm sét)
fulvescent,có ánh màu hung hung
fulvous,hung hung màu da bò
fumarole,lỗ phun khí (ở miệng núi lửa)
fumitory,(thực vật học) cây lam cận
funambulist,người làm xiếc trên dây
functionalism,thuyết chức năng
functionally,theo chức năng; về mặt chức năng
functionless,không có chức năng
fundament,mông đít
fungal,(thuộc) nấm
fungi,nấm
fungicide,(hoá học) (thuộc) diệt nấm
fungiform,hình nấm
fungivorous,(động vật học) ăn nấm
fungoid,dạng nấm
fungous,(thuộc) nấm
fungus,nấm
fungusy,có nhiều nấm
funicle,dây nhỏ
funky,khiếp đảm; nhút nhát
funnel,cái phễu
funnelled,hình phễu
funny-man,anh hề chuyên nghiệp
furbelow,nếp (váy)
furcate,có nhánh
furcation,sự phân nhánh
furfur,(y học) sự tróc vảy cám
furfures,(y học) sự tróc vảy cám
furnish,cung cấp
furnishings,đồ đạc và đồ dùng trong nhà
furniture,đồ đạc (trong nhà)
furrier,người buôn bán da lông thú
furring,sự lót áo bằng da lông thú
furrow-slice,tảng đất cày lên
furthermost,xa hơn hết
furuncle,(y học) đinh nhọt
furze,(thực vật học) cây kim tước
fuse,cầu chì
fusee,(kỹ thuật) bánh côn (đồng hồ)
fuselage,(hàng không) thân máy bay
fusiform,hình thoi
fusil,(sử học) súng hoả mai
fusilier,(sử học) lính bắn súng hoả mai
fusillade,loạt súng bắn
fusion-bomb,bom hydrô
fustanella,váy trắng (của đàn ông hy-lạp)
fustian,vải bông thô
fustic,(thực vật học) cây hoàng mộc
fustigate,(đùa cợt) đánh bằng dùi cui
fustigation,(đùa cợt) sự đánh bằng dùi cui
fut,tiếng xì (săm xì hơi); tiếng vèo vèo (đạn bay)
futhorc,chữ cái bắc âu
futureless,không có tương lai
futurism,thuyết vị lai
futurist,người theo thuyết vị lai
futurity,tương lai ((cũng) số nhiều) những sự kiện tương lai
fuzz,xơ sợi
fuzz-ball,(thực vật học) nấm trứng
fuzziness,sự xơ ra
fyrd,dân quân (anh)
fête,mũ đầu đuôi seo (của người thổ-nhĩ-kỳ)
gabardine,vải gabaddin ((cũng) gaberdine)
gabble,lời nói lắp bắp; lời nói nhanh nghe không rõ
gabbler,người nói lắp bắp
gabbro,(khoáng chất) gabro
gaberdine,(như) gabardine
gabion,sọt đựng đất (để đắp luỹ)
gabionade,luỹ (đắp bằng) sọt đất
gable,đầu hồi (nhà)
gabled,có đầu hồi; giống hình đầu hồi | mái có đầu hồi
gad-fly,(động vật học) con mòng
gadabout,thích đi lang thang; người hay đi chơi nhăng ((cũng) gadder)
gadder,(ngành mỏ) máy khoan
gadwall,vịt trời (ở bắc mỹ và bắc âu)
gael,người xen-tơ (ở ê-cốt)
gaelic,(thuộc) xen-tơ
gaff,to blow the gaff để lộ âm mưu; tiết lộ bí mật
gaffer,ông già; ông lão quê kệch
gaggle,bầy ngỗng
gaiety,sự vui vẻ; tính vui vẻ; vẻ hoan hỉ
gaily,vui vẻ; hoan hỉ
gainings,của kiếm được; tiền lãi
gainst,(thơ ca) (như) against
gait,dáng đi | dáng đi vụng về
gaiter,ghệt
gal,(thông tục) cô gái
galactose,(hoá học) galactoze
galantine,giò (món ăn)
galatic,(thiên văn học) (thuộc) ngân hà
galeate,(thực vật học) hình m
galeeny,(động vật học) gà phi
galen,(đùa cợt) ông lang
galena,(khoáng chất) galen
galenic,(thuộc) y lý của galen
galingale,cây củ gấu
galipot,nhựa (cây) thông biển
gall-bladder,túi mật
gall-fly,sâu cây vú lá
gall-stone,(y học) sỏi mật
galleon,thuyền buồm lớn
galley-slave,người nô lệ chèo thuyền
gallic,(hoá học) galic
gallicism,(ngôn ngữ học) từ ngữ đặc pháp
galligaskins,(đùa cợt) quần bó ở đầu gối; quần
gallinaceous,(động vật học) (thuộc) bộ gà
gallinule,(động vật học) gà nước
gallium,(hoá học) gali
gallivant,đi lang thang
galloon,dải trang sức (bằng vàng bạc hoặc lụa)
galloper,ngựa phi nước đại
galloway,giống ngựa galôuây (ê-cốt)
gallows,giá treo cổ
gallows-ripe,đáng đem treo c
gallows-tree,giá treo c
galoot,thuỷ thủ
galop,điệu múa tẩu mã
galvanise,mạ điện | khích động ai cho hoạt động thêm
galvanism,(vật lý) điện một chiều
galvanization,sự mạ điện
galvanography,(vật lý) phép ghi dòng điện
galvanometer,(vật lý) cái đo điện
gambade,cái nhảy (của ngựa)
gambado,cái nhảy (của ngựa)
gambadoes,cái nhảy (của ngựa)
gambit,(đánh cờ) sự thí quân để mở đường cho tướng
gambling,trò cờ bạc
gamboge,nhựa cămpuchia (dùng làm thuốc vẽ màu vàng)
game-bag,túi săn
game-cock,gà chọi
gamekeeper,người canh rừng không cho săn trộm th
gamesmanship,tài làm cho đối thủ lâng trí để được cuộc
gamete,(sinh vật học) giao t
gametophyte,(thực vật học) thể giao t
gaming,sự đánh bạc
gaming-house,sòng bạc
gamma,gama (chữ cái hy-lạp)
gammer,(thông tục) bà già
gammoning,(hàng hải) dây buộc rầm néo buồm ((cũng) gammon)
gamopetalous,(thực vật học) cánh hợp (hoa)
gamp,(thực vật học) cái ô (dù) to
gamy,có nhiều thú săn
gander,con ngỗng đực
ganger,trưởng kíp (thợ)
ganglia,(giải phẫu) hạch
gangling,lênh khênh; lóng ngóng
ganglion,(giải phẫu) hạch
gangrene,bệnh thối hoại
gangrenous,(thuộc) bệnh thối hoại
gangway,lối đi giữa các hàng ghế
gannet,(động vật học) chim điên
ganoid,có vảy láng (cá)
gantry,giá gỗ kê thùng
gaol-delivery,sự đem xử hàng loạt để làm rộng chỗ nhà giam
gape-seed,(đùa cợt) sự há hốc miệng ra mà nhìn
gaper,người hay ngáp
garden-bed,luống hoa
garden-frame,cái giàn (trồng cây leo)
garden-party,buổi chiêu đãi ở trong vườn
garden-stuff,rau và hoa quả
gardener,người làm vườn
gardenia,(thực vật học) cây dành dành
gardening,nghề làm vườn; sự trồng vườn
garfish,(động vật học) cá nhái
garibaldi,áo bờ lu (của đàn bà hoặc trẻ con)
garlic,(thực vật học) cây tỏi
garlicky,(thuộc) tỏi; có mùi tỏi
garnishing,hoa lá (để bày lên các món ăn) ((cũng) garnish)
garotte,hình phạt thắt cổ; dây thắt cỏ (tội nhân)
garreteer,người ở gác xép sát mái
garrotte,hình phạt thắt cổ; dây thắt cỏ (tội nhân)
garter,nịt bít tất
gas,khí
gas-attack,(quân sự)
gas-bag,khí cầu
gas-bomb,bom hơi độc
gas-chamber,buồng hơi ngạt (để giết súc vật) ((cũng) gas-oven)
gas-engine,máy nổ (chạy bằng chất khí)
gas-fire,lò sưởi (đốt bằng) khí
gas-fitter,người lắp ống dẫn hơi đốt
gas-helmet,mặt nạ phòng hơi độc
gas-holder,bình đựng khí
gas-main,ống cái dẫn khí (hơi đốt)
gas-man,người sản xuất hơi đốt
gas-mask,mặt nạ phòng hơi độc
gas-meter,máy đo khí
gas-oven,(như) gas-furnace
gas-producer,nhà máy sản xuất khí
gas-projector,vòi phun hơi độc
gas-ring,bếp hơi hình vòng
gas-shell,đạn hơi ngạt
gas-shelter,hầm tránh hơi độc
gas-stove,hoả lò khí
gas-warfare,chiến tranh hơi độc
gas-works,nhà máy sản xuất khí
gascon,người xứ ga-xcô-nhơ
gasconade,thói khoe khoang khoác lác
gaselier,đèn chùm thắp bằng khí
gaseous,(thuộc) thể khí
gash,vết thương dài và sâu; vết cắt dài và sâu
gasification,sự khí hoá
gasiform,dạng khí
gasify,khí hoá
gasket,(hàng hải) dây thừng nhỏ (để cuốn buồm vào cột)
gaslight,đèn khí
gasogene,lò ga
gasometer,thùng đựng khí
gasometry,phép đo khí
gasper,(từ lóng) thuốc lá rẻ tiền
gaspingly,thở hổn hển
gassiness,tính chất khí
gassy,(thuộc) khí; như khí
gasteropod,(động vật học) loài chân bụng
gastric,(thuộc) dạ dày | loét dạ dày | dịch vị
gastritis,(y học) viêm dạ dày
gastroenteritis,(y học) viêm dạ dày ruột
gastrologer,nhà chuyên khoa nấu ăn
gastrologist,nhà chuyên khoa nấu ăn
gastrology,nghệ thuật nấu ăn
gastronome,người sành ăn
gastronomer,người sành ăn
gastronomic,(thuộc) sự ăn ngon; sành ăn
gastronomist,người sành ăn
gastronomy,nghệ thuật ăn ngon; sự sành ăn
gastropode,(động vật học) loài chân bụng
gastroscope,(y học) ống soi dạ dày
gastrotomy,(y học) thủ thuật mở dạ dày
gate,cổng
gate-crash,chuồn vào cửa
gate-crasher,người chuồn vào cửa
gate-keeper,người gác cổng
gate-legged,gate-legged table bàn cánh lật
gate-meeting,cuộc họp có lấy tiền vào cửa
gate-money,tiền mua vé (trận đấu thể thao...) ((cũng) gate)
gate-post,cột cổng
gatehouse,nhà ở cổng (công viên...)
gateway,cổng vào ((nghĩa đen) & (nghĩa bóng))
gathering,sự tụ họ; cuộc hội họp
gauche,vụng về
gauffer,cái kẹp (để làm) quăn
gauge-glass,ống đo nước
gauging-station,trạm thuỷ văn
gauntry,giá gỗ kê thùng
gaur,(động vật học) con minh (một loài bò rừng)
gauss,(vật lý) gaoxơ
gauzy,mỏng nhẹ như sa
gavotte,điệu nhảy gavôt
gawk,người lóng ngóng
gawkiness,sự lóng ngóng
gawky,lóng ngóng
gazebo,vọng lâu
gazelle,(động vật học) linh dương gazen
gazer,người nhìn chằm chằm
gazette,công báo
gazetteer,từ điển địa lý
gazogene,lò ga
gear-ratio,(kỹ thuật) số truyền động
gear-wheel,bánh răng
gearing,(kỹ thuật) hệ thống bánh răng (máy)
gecko,(động vật học) con tắc kè
gee,khuấy thán từ
gee-gee,khuấy thán từ
geisha,vũ nữ nhật
gel,(hoá học) chất gien
gelatin,gelatin
gelatine,gelatin
gelatinous,(thuộc) gelatin
geld,thiến (súc vật)
gelder,người thiến (súc vật)
gelding,sự thiến
gelignite,gêlinhit (một loại chất nổ)
gelt,thiến (súc vật)
gemination,sự sắp thành đôi
gemma,(sinh vật học) mầm
gemmae,(sinh vật học) mầm
gemmate,(sinh vật học) có mầm
gemmation,(sinh vật học) sự mọc mầm; sự sinh mầm
gemmiferous,có ngọc
gemmiparous,sinh mầm
gemmule,(thực vật học) sinh mầm
gen,(viết tắt) của general information
gendarme,sen đầm
gendarmerie,đội sen đầm
gene,(sinh vật học) gen
genealogical,(thuộc) phả hệ | cây phả hệ
genealogist,nhà phả hệ học
generalissimo,(quân sự) tổng tư lệnh
generalizer,người tổng quát hoá; người khái quát hoá
generalship,(quân sự) cấp tướng
generatrices,(toán học) đường sinh
generatrix,(toán học) đường sinh
genet,(động vật học) cây genet
genetics,di truyền học
genie,thần
genital,(động vật học) (thuộc) sinh dục
genitals,(động vật học) cơ quan sinh dục ngoài
genocide,tội diệt chủng
genotype,(sinh vật học) kiểu di truyền
gent,(viết tắt) của gentleman
gentian,(thực vật học) cây long đởm
gentile,không phải là do thái
gentlehood,địa vị quyền quý
gentleman-at-arms,quan ngự lâm
gentlewoman,người đàn bà lịch sự
gents,(thông tục) nhà vệ sinh đàn ông
genual,(thuộc) đầu gối
genuflect,quỳ gối (để lễ)
genuflector,người quỳ gối (để lễ)
genuflectory,quỳ gối
genuflexion,sự quỳ gối (để lễ)
geochemistry,địa hoá học
geodesis,(thuộc) đo đạc
geodesist,nhà đo đạc
geodesy,khoa đo đạc
geodetic,(thuộc) đo đạc
geodynamic,(thuộc) khoa địa động lực
geodynamics,khoa địa động lực
geognosy,địa thức học
geographer,nhà địa lý
geographic,(thuộc) địa lý | bản đồ địa lý
geographical,(thuộc) địa lý | bản đồ địa lý
geography,khoa địa lý; địa lý học
geologic,(thuộc) địa chất
geological,(thuộc) địa chất
geologise,nghiên cứu địa chất
geologist,nhà địa chất
geologize,nghiên cứu địa chất
geomancer,thầy bói đất
geomancy,môn bói đất (bói bằng những hình vẽ trên đất)
geometer,nhà hình học
geometric,(thuộc) hình học
geometrical,(thuộc) hình học
geometrician,nhà hình học
geometry,hình học
geophagy,thói ăn đất
geophysical,(thuộc) địa vật lý
geophysicist,nhà địa vật lý
geophysics,khoa địa vật lý
geophyte,(thực vật học) cây chồi dưới
geopolitics,khoa địa chính trị
geoponic,(đùa cợt) (thuộc) nông nghiệp
geotropic,(thực vật học) hướng đất
geotropism,(thực vật học) tính hướng đất
geranium,(thực vật học) cây phong lữ
gerfalcon,(động vật học) chim ưng gộc
geriatric,(thuộc) khoa bệnh tuổi già
geriatrician,nhà chuyên khoa bệnh tuổi già
geriatricist,nhà chuyên khoa bệnh tuổi già
geriatrics,(như) geriatry
geriatry,khoa bệnh tuổi già
germanic,(thuộc) đức
germanism,từ ngữ đặc đức
germanist,nhà đức học
germanization,sự đức hoá
germanize,đức hoá
germanophile,thân đức
germanophobe,bài đức
germanophobia,sự bài đức; chủ trương bài đức
germinal,(thuộc) mầm; có tính chất mầm
germinant,nảy mầm
germinate,nảy mầm
gerontocracy,chính quyền trong tay những người có tuổi
gerontology,khoa bệnh tuổi già
gerund,(ngôn ngữ học) động danh từ
gerundive,(ngôn ngữ học) (thuộc) động danh từ; như động danh từ
gestation,sự thai nghén; thời kỳ thai nghén
gesticulate,khoa tay múa chân (khi nói)
gesticulation,khoa tay múa chân
gesticulator,người hay khoa tay múa chân
gesticulatory,khoa tay múa chân
gharri,(anh-ân) xe ngựa
gharry,(anh-ân) xe ngựa
ghee,bơ sữa trâu lỏng
ghetto,(sử học) khu người do thái (ở trong một thành phố)
ghoul,ma cà rồng
ghoulish,(thuộc) ma cà rồng; như ma cà rồng
giant-powder,thuốc nổ có sức công phá mạnh
giantess,người đàn bà khổng lồ
giantism,(y học) chứng khổng lồ
gibber,tiếng nói lắp bắp
gibberish,lời nói lắp bắp
gibbon,(động vật học) con vượn
gibus,(sân khấu) mũ xếp
giddy-go-round,vòng quay ngựa g
gig,xe độc mã hai banh
gig-lamps,(từ lóng) mục kỉnh
gig-mill,máy làm gợn tuyết (nhung...)
gigantesque,khổng l
giglet,cô gái hay cười rúc rích
giglot,cô gái hay cười rúc rích
gigolo,người đàn ông chuyên đi nhảy thuê với phụ nữ; đĩ đực
gigot,đùi cừu
gilbert,(điện học) ginbe
gild,(như) guild
gilder,thợ mạ vàng
gilding,vàng mạ
gilt,lợn cái con
gilt-edged,có gáy mạ vàng
gimbals,(kỹ thuật) khớp cacddăng
gimlet,dải viền có nòng dây thép
gin,rượu gin
ginger,cây gừng; củ gừng | làm cho buổi biểu diễn sôi nổi lên
gingerade,nước gừng (đồ uống ướp gừng)
gingerbread,bánh gừng | kiến trúc hào nhoáng
gingery,có vị gừng
gingham,vải bông kẻ
gingival,(giải phẫu) (thuộc) lợi
gingivitis,(y học) viêm lợi
ginny,say rượu
ginseng,cây nhân sâm
gippo,xúp
gipsy,dân gipxi (ở ân-ddộ)
gipsy-table,bàn tròn ba chân
giraffe,(động vật học) hươu cao c
girasol,(khoáng chất) opan lửa
girasole,(khoáng chất) opan lửa
girl,con gái
girl-friend,bạn gái
girlhood,thời con gái
girlie,cô gái nh
girth,đai yên (ngựa)
girth-rail,(kỹ thuật) thanh giằng
glaciated,bị băng làm xói mòn
glaciation,sự đóng băng
glacis,(quân sự) dốc thoai thoải trước pháo đài
gladiatorial,(thuộc) đấu sĩ
gladioli,cây hoa lay-ơn
gladiolus,cây hoa lay-ơn
glair,lòng trắng trứng
glaireous,có lòng trắng trứng; có bôi lòng trắng trứng
glairy,có lòng trắng trứng; có bôi lòng trắng trứng
glamorize,làm cho có vẻ quyến rũ
glanderous,(như) glandered
glanders,(thú y học) bệnh loét mũi truyền nhiễm (ngựa lừa...)
glandiferous,(thực vật học) có quả đầu
glandiform,(thực vật học) hình quả đầu
glandular,(giải phẫu) (thuộc) tuyến
glandule,(giải phẫu) tuyến nh
glandulose,(thực vật học) có quả đầu
glandulous,(giải phẫu) (thuộc) tuyến
glass-blower,thợ thổi thuỷ tinh
glass-blowing,nghề thổi thuỷ tinh; sự thổi thuỷ tinh
glass-case,tủ kính
glass-cutter,người cắt kính
glass-dust,bột thuỷ tinh (để mài)
glass-eye,mắt giả bằng thuỷ tinh
glass-furnace,lò (nấu) thuỷ tinh
glass-wool,(kỹ thuật) len thuỷ tinh
glassful,cốc (đầy)
glassiness,tính chất như thuỷ tinh
glassman,người bán đồ thuỷ tinh
glaucomatous,(thuộc) bệnh glôcôm
glaucous,xanh xám; lục xám
glazier,thợ lắp kính
glaziery,nghề lắp kính
glazing,sự lắp kính
glazy,có nước men
gleaner,người đi mót (lúa)
gleanings,lúa mót được
gleet,mủ ri rỉ (vết thương ung nhọt)
glen,thung lũng hẹp
glengarry,(ê-cốt) mũ glenga (của người vùng cao)
glint,tia sáng; tia sáng loé; tia lấp lánh
glister,(như) glisten
gloatingly,hau háu
globe-fish,(động vật học) cá nóc
globe-lightning,sao băng
globe-trotter,người đi du lịch tham quan khắp thế giới
globe-trotting,sự đi du lịch tham quan khắp thế giới
globoil,dạng cầu
globose,hình cầu
globous,hình cầu
globular,hình cầu
globuliferous,có viên nhỏ
globulin,(sinh vật học) globulin
glomerule,(thực vật học) xin đơm (kiểu cụm hoa)
gloriole,hào quang
glory-hole,căn phòng bề bộn bẩn thỉu
glossal,(giải phẫu) (thuộc) lưỡi
glossarial,(thuộc) bảng chú giải
glossarist,người soạn bảng chú giải
glossary,bảng chú giải
glossiness,vẻ bóng láng
glossitis,(y học) viêm lưỡi
glottal,(giải phẫu) (thuộc) thanh môn
glottic,(giải phẫu) (thuộc) thanh môn
glottis,(giải phẫu) thanh môn
glove-fight,trận đấu quyền anh
glover,người làm găng tay
glow-lamp,đèn nóng sáng
glow-worm,(động vật học) con đom đóm
glower,cái nhìn trừng trừng | trừng mắt nhìn ai
glowing,rực sáng | tô màu rực rỡ|- nhiệt tình
gloze,phỉnh phờ; nói ngọt
glucoprotein,(hoá học) glucoprotein
glucose,(hoá học) glucoza
glucoside,(hoá học) glucozit
glue-pot,lọ hồ
glumaceous,có mày
glumal,có mày
glume,(thực vật học) mày
glutamin,(hoá học) glutamin
gluten,(hoá học) gluten
glutinize,làm cho dính
glutinosity,tính dính
glycerine,(hoá học) glyxerin
glycerol,(hoá học) glyxerin
glycine,(hoá học) glyxin
glycogen,(hoá học) glucogen
glycoprotein,(hoá học) glucoprotein
glycosuria,(y học) bệnh đái đường
glyptic,(thuộc) thuật chạm ngọc
glyptics,thuật chạm ngọc
glyptograph,nét chạm trên ngọc
glyptography,thuật chạm ngọc; thuật khắc đá quý
glysogenesis,sự tạo glucogen
gnashing,sự nghiến răng
gnathic,(thuộc) hàm
gnawer,động vật gặm nhắm
gneiss,(khoáng chất) đá gơnai
gneissis,(khoáng chất) (thuộc) đá gơnai; như đá gơnai
gneissoid,dạng đá gơnai
gneissy,có đá gơnai
gnome,châm ngôn
gnomic,(thuộc) châm ngôn
gnomical,(thuộc) châm ngôn
gnomish,như thần lùn giữ của
gnomon,cột đồng hồ mặt trời
gnosis,sự ngộ đạo
gnostic,ngộ đạo
gnosticism,thuyết ngộ đạo
gnu,(động vật học) linh dương đầu bò
go-as-you-please,không bị bó buộc bởi các quy tắc điều lệ
go-by,không để ý đến lời ai
go-slow,sự lãn công
goat,(động vật học) con dê
goat-herd,người chăn dê
goat-sucker,(động vật học) cú muỗi
goatee,chòm râu dê
goatish,(thuộc) dê; có mùi dê
goatling,dê non (từ 1 đến 2 năm tuổi)
goatskin,da dê
goaty,(thuộc) dê; có mùi dê
gobble,tiếng kêu gộp gộp (của gà tây)
gobble-stitch,mũi khâu vội
gobbler,gà sống tây
goblin,yêu tinh
goby,(động vật học) cá bống
godchild,con đỡ đầu
goddaughter,con gái đỡ đầu
goddess,nữ thần
godhead,thánh thần
godmother,mẹ đỡ đầu
godson,con trai đỡ đầu
goffer,cái kẹp (để làm) quăn
goggle,trợn tròn mắt; giương mắt nhìn
goggle-eyed,lồi mắt
gold-beater,thợ dát vàng
gold-digger,thợ mỏ vàng
gold-fever,cơn sốt vàng
gold-field,vùng có vàng
gold-filled,bọc vàng
gold-foil,vàng lá
gold-leaf,vàng lá
gold-mine,mỏ vàng
gold-plate,mạ vàng
gold-rush,cuộc đổ xô đi tìm vàng
gold-washer,người đãi vàng
gold-washing,sự đãi vàng
goldcrest,(động vật học) chim mào vàng
goldfinch,(động vật học) chim sẻ cánh vàng
goldfish,(động vật học) cá vàng
goldsmith,thợ vàng
golf-club,gậy đánh gôn
golf-links,bãi chơi gôn
golfer,người chơi gôn
goliath,người khổng lồ
golliwog,búp bê mặt đen
goloptious,(đùa cợt)
goluptious,(đùa cợt)
gombeen,sự cho vay nặng lãi
gonade,bộ sinh dục
gondolier,người chèo thuyền đáy bằng
gonfalon,cờ hiệu
gonfalonier,người cắm cờ hiệu
goniometer,máy đo góc
goniometry,phép đo góc
gonorrhea,(y học) bệnh lậu
goober,lạc ((cũng) goober pea)
good-conduct,có hạnh kiểm tốt | giấy chứng nhận hạnh kiểm tốt
good-neighbourly,có quan hệ láng giềng tốt
goody,kẹo
goody-goody,hay lên mặt đạo đức; đạo đức một cách lố lăng
gooey,dính nhớp nháp
goosander,(động vật học) vịt mỏ nhọn
goose-egg,trứng ngỗng
goose-grease,mỡ ngỗng
goose-neck,vật hình cổ ngỗng
goose-quill,lông ngỗng ((thường) dùng làm bút)
gooseberry,(thực vật học) cây lý gai
gooseherd,người chân ngỗng
gopher,chuột túi
gorget,(sử học) phần che bọng (của áo giáp)
gorgon,nữ thần tóc rắn (thần thoại hy lạp)
gorgonize,((thường) + at) nhìn trừng trừng
gorilla,(động vật học) con gôrila
gormandise,tính phàm ăn
gormandize,tính phàm ăn
gormandizer,người phàm ăn
gorse,(thực vật học) cây kim tước
gorsy,có nhiều cây kim tước
gosh,by gosh! thật kỳ quá! kỳ chưa!
goshawk,(động vật học) chim ó
gospeller,(tôn giáo) người giảng sách phúc âm
gossamer,mỏng nhẹ như tơ | mỏng nhẹ như tơ
gossamery,mỏng nhẹ như tơ | mỏng nhẹ như tơ
goth,giống người gô-tích
gothic,(thuộc) gô-tích
gouache,(hội họa) màu bột
goulash,món ragu hung-ga-ri
gourmand,thích ăn ngon; phàm ăn
gout,(y học) bệnh gút
goutiness,tình trạng mắc bệnh gút
gouty,(thuộc) bệnh gút; do bệnh gút
governess,cô giáo (dạy trẻ em ở gia đình)
governmental,(thuộc) chính phủ
governor-general,toàn quyền
gownsman,giáo sư đại học; học sinh đại học
grab-all,(thông tục) túi đựng các thứ linh tinh
grad,(anh) người tốt nghiệp đại học
gradate,sắp đặt theo cấp bậc
gradational,phát triển từng bước theo mức độ tăng dần
gradin,bục (từ thấp lên cao ở giảng đường...)
gradine,bục (từ thấp lên cao ở giảng đường...)
gradiometer,(vật lý) cái đo trọng sai
graduation,sự chia độ
graduator,dụng cụ để chia đồ
graft,cành ghép; sự ghép cây; chỗ ghép cây
graftage,sự ghép cây; thuật ghép cây
grafter,cành ghép; chồi ghép
grail,cái giũa để làm lược
grain-leather,da sần
grain-sick,(thú y học) bệnh trướng da cỏ
grain-side,mặt sần (của tấm da)
grainer,thợ vẽ vân giả
grains,xiên đâm cá
gram,(như) gramme
gram-negative,(y học) gam âm
gram-positive,(y học) gam dương
graminaceous,(thuộc) loài cỏ
gramineous,(thuộc) loài cỏ
graminivorous,ăn cỏ
grammalogue,ký hiệu (viết tốc ký...)
grammar-school,trường dạy tiếng la-tinh ((thế kỷ) 16)
grammarian,(ngôn ngữ học) nhà ngữ pháp
gramme,gam
grammophone,máy hát
grampus,(động vật học) cá heo
granadilla,(thực vật học) cây dưa gang tây
granary,kho thóc
grandad,nhuấy &
grandchild,cháu (của ông bà)
granddad,nhuấy &
granddaughter,cháu gái (của ông bà)
